UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1825,L50051,L,297.8,310.5,1592,49.8,72,0,0,0,0,0,0
4013,L50457,L,299.0,310.4,1196,22.7,74,0,0,0,0,0,0
1680,M23467,M,299.1,308.9,1414,18.6,69,0,0,0,0,0,0
6913,L50065,L,301.2,309.2,1561,28.4,133,1,1,0,0,0,0
3583,H9476,H,298.8,309.6,1433,58.2,108,0,0,0,0,0,0
435,L51149,L,297.9,309.7,1611,27.3,179,0,0,0,0,0,0
8929,L50859,L,297.4,310.3,1674,41.5,102,0,0,0,0,0,0
9655,L50569,L,299.4,311.2,1444,26.5,53,0,0,0,0,0,0
107,L51554,L,300.6,309.4,1419,45.9,175,0,0,0,0,0,0
6925,M21787,M,301.9,309.7,1429,24.9,179,0,0,0,0,0,0
3528,L51960,L,297.8,308.2,1688,53.3,105,0,0,0,0,0,0
1675,L50189,L,302.0,311.5,1685,54.6,131,0,0,0,0,0,0
5882,L51735,L,295.3,311.2,1557,36.8,115,0,0,0,0,0,0
4334,H10652,H,296.0,309.2,1272,32.0,157,0,0,0,0,0,0
7528,L51098,L,298.4,309.3,1706,43.1,76,0,0,0,0,0,0
6202,M19645,M,301.0,312.1,1573,36.7,152,0,0,0,0,0,0
5926,L51182,L,299.2,307.8,1595,42.4,110,0,0,0,0,0,0
1140,L50093,L,299.5,309.4,1489,44.3,99,0,0,0,0,0,0
4742,L50163,L,303.8,310.3,1588,39.1,0,0,0,0,0,0,0
1655,L50778,L,299.9,310.2,1463,33.3,110,0,0,0,0,0,0
5978,L50333,L,299.6,310.5,1535,28.2,182,0,0,0,0,0,0
3433,L51372,L,301.5,308.8,1791,53.7,198,0,0,0,0,0,0
1170,L51247,L,298.0,309.2,1559,34.8,11,0,0,0,0,0,0
8752,M21005,M,300.1,310.8,1376,46.0,99,0,0,0,0,0,0
6217,L50552,L,298.4,309.5,1688,27.6,124,0,0,0,0,0,0
9126,L50449,L,302.6,309.5,1504,25.5,185,0,0,0,0,0,0
917,L50469,L,301.0,310.5,1586,43.2,66,0,0,0,0,0,0
5169,L50821,L,300.5,310.3,1694,41.5,32,0,0,0,0,0,0
3457,M23646,M,297.6,311.0,1366,47.6,183,0,0,0,0,0,0
5156,M20741,M,298.4,310.6,1711,31.2,119,0,0,0,0,0,0
6483,L51811,L,298.2,308.8,1527,43.2,127,0,0,0,0,0,0
7518,M20170,M,301.6,313.8,1558,25.9,107,0,0,0,0,0,0
4041,M23598,M,297.9,310.7,1501,46.9,139,0,0,0,0,0,0
9578,H9877,H,299.9,309.3,1681,50.2,88,0,0,0,0,0,0
6544,L50741,L,300.4,308.2,1572,43.6,53,0,0,0,0,0,0
2267,M23174,M,300.3,311.6,1550,48.5,177,0,0,0,0,0,0
772,M19898,M,297.3,308.6,1634,44.9,142,0,0,0,0,0,0
2622,M22458,M,304.4,312.0,1719,42.1,120,0,0,0,0,0,0
6305,L50781,L,298.5,309.7,1454,40.6,246,0,0,0,0,0,0
7669,L51083,L,296.3,309.4,1556,31.0,88,0,0,0,0,0,0
9065,L51762,L,298.6,311.0,1410,42.0,112,0,0,0,0,0,0
1877,L51396,L,298.7,312.0,1691,40.0,137,0,0,0,0,0,0
4372,L51574,L,298.7,311.3,1398,38.7,141,0,0,0,0,0,0
1828,L50601,L,301.7,309.5,1484,43.0,7,0,0,0,0,0,0
7434,M19026,M,297.5,311.4,1924,50.0,13,0,0,0,0,0,0
4316,L51990,L,299.0,309.7,1879,39.6,50,0,0,0,0,0,0
2928,L51039,L,299.5,308.2,1835,25.6,81,0,0,0,0,0,0
4890,L51723,L,300.3,310.1,1964,43.8,167,0,0,0,0,0,0
9978,L50407,L,300.4,309.1,1554,36.0,116,0,0,0,0,0,0
2647,L51104,L,301.3,309.1,1922,46.6,114,0,0,0,0,0,0
8690,L51881,L,300.6,309.1,1504,34.9,72,1,1,0,0,0,0
5311,M23002,M,301.7,311.4,1597,47.9,149,1,0,1,0,0,0
5948,L51799,L,301.5,310.9,1537,41.0,190,0,0,0,0,0,0
5039,L50490,L,298.8,312.3,1462,35.8,126,0,0,0,0,0,0
9296,H10939,H,302.6,310.0,1664,36.7,130,0,0,0,0,0,0
7963,H10671,H,299.7,312.9,1733,22.1,81,0,0,0,0,0,0
8728,L51568,L,302.3,311.2,1654,46.0,108,0,0,0,0,0,0
7788,L51939,L,298.2,306.9,1860,36.7,160,0,0,0,0,0,0
4343,L51080,L,300.8,309.2,1393,42.2,125,0,0,0,0,0,0
