UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
8466,M23325,M,298.7,309.8,1475,40.5,59,0,0,0,0,0,0
4805,L51984,L,303.7,312.6,1621,38.8,182,0,0,0,0,0,0
2859,L50038,L,300.5,309.3,1417,51.5,231,1,0,0,0,1,0
4220,L51399,L,301.9,310.7,1717,26.8,27,0,0,0,0,0,0
4482,M19341,M,302.6,310.4,1544,35.1,25,0,0,0,0,0,0
1476,M16335,M,298.4,309.5,1519,35.4,133,0,0,0,0,0,0
2810,L49989,L,299.9,309.2,1598,34.6,111,0,0,0,0,0,0
5814,L52993,L,301.2,311.0,1761,29.1,195,0,0,0,0,0,0
908,M15767,M,295.6,306.1,1669,29.0,161,0,0,0,0,0,0
1771,H31184,H,298.4,307.9,1605,31.0,18,0,0,0,0,0,0
5425,L52604,L,302.6,312.2,1377,45.5,54,0,0,0,0,0,0
6277,L53456,L,301.2,310.8,1233,64.6,45,0,0,0,0,0,0
6800,M21659,M,301.1,310.7,2636,12.2,100,1,0,0,1,0,0
2257,L49436,L,299.1,308.3,1489,38.1,32,0,0,0,0,0,0
1385,L48564,L,298.9,310.3,1484,43.8,124,0,0,0,0,0,0
5197,H34610,H,303.9,313.0,1517,36.0,142,0,0,0,0,0,0
3652,L50831,L,302.1,311.5,1444,44.9,97,0,0,0,0,0,0
6983,L54162,L,300.7,311.1,1440,43.0,148,0,0,0,0,0,0
1682,M16541,M,297.8,307.3,1804,26.0,222,0,0,0,0,0,0
7240,L54419,L,299.8,310.1,1553,42.0,177,0,0,0,0,0,0
2157,M17016,M,299.4,308.9,1457,41.5,201,0,0,0,0,0,0
8656,L55835,L,297.3,308.3,1268,60.6,119,0,0,0,0,0,0
3241,L50420,L,300.9,309.5,1612,35.2,124,0,0,0,0,0,0
4645,L51824,L,303.2,311.4,1514,41.2,230,0,0,0,0,0,0
6751,M21610,M,301.7,311.0,1505,44.0,187,0,0,0,0,0,0
6224,M21083,M,301.1,310.9,1552,37.9,126,0,0,0,0,0,0
5666,L52845,L,302.3,311.4,1845,21.9,27,0,0,0,0,0,0
7660,L54839,L,300.5,311.6,1528,42.4,163,0,0,0,0,0,0
7547,H36960,H,300.2,311.5,1454,42.8,88,0,0,0,0,0,0
4165,L51344,L,302.2,310.6,1346,47.5,109,1,0,1,0,0,0
4564,L51743,L,302.7,310.7,1977,20.0,21,0,0,0,0,0,0
7800,L54979,L,300.0,311.4,1374,41.9,96,0,0,0,0,0,0
3070,L50249,L,300.0,309.1,1791,28.2,108,0,0,0,0,0,0
1169,L48348,L,297.1,308.1,1584,36.8,215,0,0,0,0,0,0
9502,L56681,L,299.3,310.3,1396,47.4,14,0,0,0,0,0,0
9412,L56591,L,298.0,308.5,1404,46.6,201,0,0,0,0,0,0
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0
6537,L53716,L,301.3,310.5,1406,47.1,83,0,0,0,0,0,0
4588,M19447,M,302.8,311.0,1507,33.4,82,0,0,0,0,0,0
3016,L50195,L,300.5,309.7,1589,30.5,198,0,0,0,0,0,0
2231,L49410,L,299.5,308.7,1446,45.7,173,0,0,0,0,0,0
1171,M16030,M,297.1,308.1,1823,24.3,219,0,0,0,0,0,0
1562,L48741,L,298.2,308.4,1388,53.8,137,0,0,0,0,0,0
4454,L51633,L,302.4,310.2,1400,53.7,175,0,0,0,0,0,0
9324,L56503,L,298.6,309.4,1447,40.2,173,0,0,0,0,0,0
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0
9759,L56938,L,298.6,309.8,2271,16.2,218,1,1,0,0,0,0
9806,L56985,L,298.4,309.2,1651,28.5,141,0,0,0,0,0,0
1997,M16856,M,298.4,308.0,1416,38.2,198,1,1,0,0,0,0
404,L47583,L,297.3,308.6,1273,59.8,182,0,0,0,0,0,0
4753,H34166,H,303.3,311.3,1502,39.5,38,0,0,0,0,0,0
9238,M24097,M,298.1,308.8,1811,25.4,147,0,0,0,0,0,0
5874,M20733,M,301.5,311.1,1396,43.5,112,0,0,0,0,0,0
5506,L52685,L,302.8,312.2,1746,27.4,44,0,0,0,0,0,0
7614,L54793,L,300.5,311.3,1475,46.3,49,0,0,0,0,0,0
8883,L56062,L,298.0,309.2,1378,49.7,94,0,0,0,0,0,0
3367,M18226,M,301.4,310.7,1692,32.3,5,0,0,0,0,0,0
1365,L48544,L,298.7,310.2,1566,33.1,68,0,0,0,0,0,0
960,L48139,L,295.8,306.5,1505,35.2,86,0,0,0,0,0,0
6507,H35920,H,301.0,310.1,1454,44.1,217,0,0,0,0,0,0
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0
6895,L54074,L,301.1,311.7,1408,46.3,135,0,0,0,0,0,0
4322,L51501,L,301.7,310.2,1686,28.9,59,0,0,0,0,0,0
1710,L48889,L,298.2,307.8,1749,26.1,66,0,0,0,0,0,0
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0
7715,L54894,L,300.5,311.5,1487,43.0,78,0,0,0,0,0,0
1759,L48938,L,298.1,307.4,1608,33.9,193,0,0,0,0,0,0
2021,H31434,H,298.7,308.4,1560,33.3,53,0,0,0,0,0,0
5336,M20195,M,303.3,312.4,1505,38.9,68,0,0,0,0,0,0
1733,H31146,H,298.4,307.9,1700,28.2,120,0,0,0,0,0,0
6680,L53859,L,301.6,310.8,1392,42.4,3,0,0,0,0,0,0
2500,M17359,M,299.1,308.9,1325,48.4,220,0,0,0,0,0,0
5257,L52436,L,303.5,313.0,1393,51.6,80,0,0,0,0,0,0
4147,L51326,L,301.8,310.3,1482,41.4,63,0,0,0,0,0,0
2714,M17573,M,299.6,309.2,1651,30.8,92,0,0,0,0,0,0
7383,L54562,L,299.8,310.4,1698,28.3,103,0,0,0,0,0,0
882,L48061,L,295.7,306.2,1464,46.2,92,0,0,0,0,0,0
8141,L55320,L,299.6,310.9,1658,28.0,76,0,0,0,0,0,0
6863,M21722,M,301.1,311.2,1384,49.4,48,0,0,0,0,0,0
6902,L54081,L,301.0,311.7,1547,34.5,152,0,0,0,0,0,0
6135,L53314,L,301.0,311.0,1581,37.0,127,0,0,0,0,0,0
1314,L48493,L,298.9,310.2,1359,56.9,166,0,0,0,0,0,0
2902,L50081,L,300.6,309.4,1425,40.3,103,0,0,0,0,0,0
1642,M16501,M,298.0,308.0,1555,37.0,111,0,0,0,0,0,0
5845,L53024,L,301.4,311.1,1462,37.1,41,0,0,0,0,0,0
5441,H34854,H,303.0,312.5,1698,30.0,89,0,0,0,0,0,0
983,L48162,L,296.2,306.9,1516,39.1,138,0,0,0,0,0,0
2024,L49203,L,298.7,308.5,1444,54.2,62,0,0,0,0,0,0
5436,M20295,M,303.0,312.5,1524,42.1,76,0,0,0,0,0,0
6252,M21111,M,300.8,310.2,1598,36.5,195,0,0,0,0,0,0
1908,L49087,L,297.9,307.6,1504,42.4,180,0,0,0,0,0,0
2104,M16963,M,299.3,309.1,1376,46.7,49,0,0,0,0,0,0
4922,L52101,L,303.4,312.3,1287,54.8,54,0,0,0,0,0,0
1091,L48270,L,296.9,307.7,1464,41.4,6,0,0,0,0,0,0
6908,L54087,L,300.9,311.3,1449,40.2,168,0,0,0,0,0,0
6801,M21660,M,301.1,310.6,1310,48.8,103,0,0,0,0,0,0
