UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
2033,L49212,L,298.8,308.5,1444,42.2,83,0,0,0,0,0,0
6018,L53197,L,300.8,310.9,1398,38.2,50,0,0,0,0,0,0
3343,L50522,L,301.5,310.8,1382,52.4,165,0,0,0,0,0,0
461,H29874,H,297.3,308.6,1431,42.0,109,0,0,0,0,0,0
9376,H38789,H,297.7,308.4,1288,49.5,91,0,0,0,0,0,0
9398,M24257,M,297.7,308.2,1370,53.4,162,0,0,0,0,0,0
4774,L51953,L,303.6,312.0,1391,50.3,101,0,0,0,0,0,0
935,M15794,M,295.5,306.0,1326,50.8,18,0,0,0,0,0,0
581,M15440,M,297.8,309.8,1798,25.5,203,0,0,0,0,0,0
4241,L51420,L,302.4,311.1,1905,20.9,77,0,0,0,0,0,0
9542,M24401,M,299.5,310.8,1754,31.3,114,0,0,0,0,0,0
2956,M17815,M,300.7,309.5,1439,43.8,41,0,0,0,0,0,0
2985,L50164,L,300.6,309.7,1639,30.4,121,0,0,0,0,0,0
6003,L53182,L,300.5,310.3,1683,31.5,8,0,0,0,0,0,0
4983,L52162,L,303.7,313.0,1811,24.3,209,0,0,0,0,0,0
1413,M16272,M,298.8,309.9,1415,53.2,194,0,0,0,0,0,0
1331,L48510,L,298.9,310.2,1696,30.2,214,0,0,0,0,0,0
9683,L56862,L,299.1,310.0,1394,46.6,27,0,0,0,0,0,0
5689,M20548,M,302.3,311.7,1423,44.6,93,0,0,0,0,0,0
6341,H35754,H,300.5,309.9,1397,45.9,210,1,1,0,0,0,0
5990,L53169,L,300.7,310.7,1507,46.1,209,0,0,0,0,0,0
9492,M24351,M,299.0,309.7,1489,40.7,212,0,0,0,0,0,0
5200,L52379,L,303.8,312.8,1503,40.0,154,0,0,0,0,0,0
3160,H32573,H,300.4,309.8,1409,47.5,138,0,0,0,0,0,0
7654,L54833,L,300.4,311.5,1492,44.6,149,0,0,0,0,0,0
1050,L48229,L,296.5,307.6,1415,44.2,106,0,0,0,0,0,0
1192,M16051,M,297.2,308.3,1776,28.0,43,0,0,0,0,0,0
4255,L51434,L,302.6,311.0,1284,68.0,114,1,0,1,1,0,0
8143,M23002,M,299.7,311.0,1448,49.8,80,0,0,0,0,0,0
9732,L56911,L,298.8,310.0,1389,49.6,149,0,0,0,0,0,0
5757,M20616,M,302.0,311.5,1366,52.3,54,0,0,0,0,0,0
8442,L55621,L,298.6,309.9,1630,30.6,2,0,0,0,0,0,0
7076,L54255,L,300.7,310.5,1536,47.4,192,0,0,0,0,0,0
6607,H36020,H,301.5,310.5,1538,44.3,43,0,0,0,0,0,0
8796,L55975,L,297.3,308.4,1459,39.4,59,0,0,0,0,0,0
9933,L57112,L,298.3,308.2,1663,28.4,67,0,0,0,0,0,0
6088,M20947,M,300.9,310.8,1599,33.0,7,0,0,0,0,0,0
7826,M22685,M,299.9,311.2,1579,35.5,162,0,0,0,0,0,0
8983,L56162,L,297.0,307.7,1315,60.1,128,0,0,0,0,0,0
5008,L52187,L,303.8,312.9,1442,48.3,52,0,0,0,0,0,0
3364,L50543,L,301.4,310.6,1555,43.3,212,0,0,0,0,0,0
7659,M22518,M,300.4,311.6,1359,55.4,160,0,0,0,0,0,0
2060,H31473,H,299.5,309.4,1386,44.4,154,0,0,0,0,0,0
1766,L48945,L,298.2,307.6,1368,51.8,5,0,0,0,0,0,0
5626,L52805,L,302.7,312.1,1728,24.4,146,0,0,0,0,0,0
2817,L49996,L,300.1,309.4,1434,47.3,127,0,0,0,0,0,0
8586,M23445,M,297.4,307.9,1338,48.5,158,0,0,0,0,0,0
7390,L54569,L,299.8,310.6,1707,32.5,124,0,0,0,0,0,0
6027,L53206,L,300.7,311.0,1403,48.3,70,0,0,0,0,0,0
5852,L53031,L,301.2,311.0,1573,32.8,57,0,0,0,0,0,0
4327,L51506,L,301.6,310.1,1362,55.8,70,1,0,1,0,0,0
893,L48072,L,295.7,306.1,1343,54.4,119,0,0,0,0,0,0
741,M15600,M,296.9,308.4,1450,46.9,186,0,0,0,0,0,0
4644,L51823,L,303.2,311.4,1324,54.2,228,1,0,1,0,1,0
6918,L54097,L,301.0,311.4,1481,37.5,193,0,0,0,0,0,0
9466,M24325,M,298.6,309.4,1460,43.8,138,0,0,0,0,0,0
1295,L48474,L,298.8,309.9,1486,40.3,126,0,0,0,0,0,0
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0
7913,L55092,L,300.7,312.1,1498,44.0,155,0,0,0,0,0,0
7705,M22564,M,300.6,311.6,1630,31.8,52,0,0,0,0,0,0
8373,M23232,M,298.8,309.7,1448,44.8,31,0,0,0,0,0,0
3459,L50638,L,301.5,310.4,1329,46.6,24,0,0,0,0,0,0
3546,L50725,L,301.8,310.8,1576,38.6,38,0,0,0,0,0,0
5950,M20809,M,300.7,310.8,1506,44.0,97,0,0,0,0,0,0
3047,M17906,M,300.2,309.4,1501,40.0,48,0,0,0,0,0,0
2868,H32281,H,300.7,309.6,1390,48.5,7,0,0,0,0,0,0
6603,L53782,L,301.5,310.6,1374,46.7,32,0,0,0,0,0,0
673,M15532,M,297.6,308.9,1433,43.2,206,0,0,0,0,0,0
1462,L48641,L,298.9,310.2,1491,45.1,101,0,0,0,0,0,0
9151,M24010,M,297.5,308.6,1347,57.0,132,0,0,0,0,0,0
8599,L55778,L,297.6,308.3,1478,42.3,193,0,0,0,0,0,0
4104,L51283,L,302.0,310.4,1448,43.4,167,0,0,0,0,0,0
204,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0
2747,L49926,L,299.7,309.2,1411,46.1,173,0,0,0,0,0,0
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0
2323,L49502,L,299.2,308.7,1514,41.9,196,0,0,0,0,0,0
9651,M24510,M,299.1,310.0,1437,41.1,192,0,0,0,0,0,0
8435,M23294,M,298.7,309.9,1654,29.1,195,0,0,0,0,0,0
5432,L52611,L,302.8,312.5,1462,43.4,68,0,0,0,0,0,0
1616,L48795,L,297.8,307.9,1447,48.6,46,0,0,0,0,0,0
8999,L56178,L,297.1,308.0,1467,42.8,169,0,0,0,0,0,0
5108,L52287,L,303.9,313.2,1540,44.4,119,0,0,0,0,0,0
7778,L54957,L,300.3,311.5,1695,25.6,43,0,0,0,0,0,0
7349,H36762,H,299.7,310.3,1462,40.4,19,0,0,0,0,0,0
3788,L50967,L,302.3,310.8,1377,47.3,22,1,0,1,0,0,0
4336,L51515,L,301.7,309.9,1607,37.7,93,0,0,0,0,0,0
9060,L56239,L,297.2,308.3,1805,25.6,103,0,0,0,0,0,0
4253,H33666,H,302.6,311.0,1438,51.0,106,0,0,0,0,0,0
1460,L48639,L,299.0,310.3,1472,36.1,97,0,0,0,0,0,0
9306,H38719,H,298.3,309.1,1646,30.2,125,0,0,0,0,0,0
9468,L56647,L,298.6,309.3,1702,27.6,143,0,0,0,0,0,0
6130,M20989,M,301.0,311.0,1508,46.9,113,0,0,0,0,0,0
1106,M15965,M,296.6,307.5,1734,27.0,50,0,0,0,0,0,0
4681,L51860,L,303.6,311.7,1491,39.8,92,0,0,0,0,0,0
8051,L55230,L,300.7,312.0,1401,51.1,50,0,0,0,0,0,0
4810,L51989,L,303.4,312.2,1656,32.7,195,0,0,0,0,0,0
195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0
846,L48025,L,296.3,307.3,1439,41.5,208,0,0,0,0,0,0
5007,M19866,M,303.7,312.8,1366,47.3,49,0,0,0,0,0,0
868,H30281,H,295.9,306.5,1594,33.2,55,0,0,0,0,0,0
2079,M16938,M,299.4,309.3,1692,28.4,201,0,0,0,0,0,0
2240,L49419,L,299.2,308.6,1381,50.0,193,0,0,0,0,0,0
5807,L52986,L,301.4,310.9,1440,45.4,177,0,0,0,0,0,0
7009,L54188,L,300.5,310.6,1368,49.6,10,0,0,0,0,0,0
7605,L54784,L,300.4,311.3,1639,34.6,24,0,0,0,0,0,0
1738,L48917,L,298.4,307.9,1743,27.3,134,0,0,0,0,0,0
5323,M20182,M,303.4,312.7,1357,55.3,31,0,0,0,0,0,0
6871,H36284,H,301.0,311.3,1597,39.2,66,0,0,0,0,0,0
9080,H38493,H,297.3,308.1,1554,42.4,158,0,0,0,0,0,0
3144,H32557,H,300.6,310.0,1419,42.4,90,0,0,0,0,0,0
3282,M18141,M,301.2,310.0,1445,45.6,18,0,0,0,0,0,0
5270,L52449,L,303.5,312.9,1504,44.8,111,0,0,0,0,0,0
3881,L51060,L,302.5,311.6,1595,29.5,35,0,0,0,0,0,0
3100,M17959,M,299.9,309.1,1513,43.8,188,0,0,0,0,0,0
6775,H36188,H,301.2,310.7,1747,27.3,35,0,0,0,0,0,0
8528,L55707,L,298.4,309.3,1531,37.4,16,0,0,0,0,0,0
1643,H31056,H,298.0,307.8,1588,35.4,114,0,0,0,0,0,0
9545,L56724,L,299.6,311.0,1708,31.0,122,0,0,0,0,0,0
8601,L55780,L,297.5,308.3,1435,40.3,197,0,0,0,0,0,0
1328,L48507,L,298.8,310.2,1814,26.8,204,0,0,0,0,0,0
2174,M17033,M,299.5,309.2,1495,41.6,17,0,0,0,0,0,0
7551,M22410,M,300.3,311.4,1554,34.3,99,0,0,0,0,0,0
921,M15780,M,295.5,305.9,1518,44.1,194,0,0,0,0,0,0
6189,L53368,L,301.0,310.9,1450,45.9,35,0,0,0,0,0,0
570,M15429,M,297.7,309.6,1596,35.2,173,0,0,0,0,0,0
7502,L54681,L,300.2,311.7,1640,30.8,191,0,0,0,0,0,0
524,L47703,L,297.4,309.4,1401,45.9,49,0,0,0,0,0,0
4270,L51449,L,302.6,311.0,1610,39.2,152,0,0,0,0,0,0
8496,L55675,L,298.3,309.4,1668,27.1,136,0,0,0,0,0,0
2412,L49591,L,299.0,308.5,1559,38.1,194,0,0,0,0,0,0
5163,L52342,L,304.2,313.3,1464,45.9,48,0,0,0,0,0,0
2586,M17445,M,299.0,308.7,1620,35.4,199,0,0,0,0,0,0
5085,L52264,L,304.1,313.1,1969,20.8,59,0,0,0,0,0,0
2282,L49461,L,299.3,308.7,1536,38.9,94,0,0,0,0,0,0
1971,M16830,M,297.9,307.6,1202,67.0,129,0,0,0,0,0,0
4923,M19782,M,303.4,312.2,1615,35.7,56,0,0,0,0,0,0
3748,L50927,L,302.5,311.1,1499,38.8,135,0,0,0,0,0,0
6393,L53572,L,300.1,309.7,1680,33.8,140,0,0,0,0,0,0
9100,H38513,H,297.3,308.1,1477,52.3,2,0,0,0,0,0,0
231,L47410,L,298.3,308.6,1570,34.8,175,0,0,0,0,0,0
6897,M21756,M,301.0,311.6,1454,40.0,140,0,0,0,0,0,0
6231,M21090,M,301.3,311.0,1641,33.0,145,0,0,0,0,0,0
901,L48080,L,295.6,306.2,1569,35.1,140,0,0,0,0,0,0
5160,L52339,L,304.2,313.4,1490,44.0,41,0,0,0,0,0,0
5204,M20063,M,303.7,312.6,1671,30.5,163,0,0,0,0,0,0
5467,M20326,M,302.9,312.3,1426,44.7,157,0,0,0,0,0,0
9877,H39290,H,298.8,309.7,1461,55.1,118,0,0,0,0,0,0
6811,L53990,L,301.0,310.7,1727,34.5,127,0,0,0,0,0,0
3711,L50890,L,302.2,311.5,1489,38.3,35,0,0,0,0,0,0
9266,M24125,M,298.3,308.9,1390,49.7,23,0,0,0,0,0,0
5760,L52939,L,301.8,311.3,1551,35.8,61,0,0,0,0,0,0
7149,M22008,M,300.3,309.8,1617,40.8,158,0,0,0,0,0,0
3388,M18247,M,301.6,310.8,1290,65.3,63,0,0,0,0,0,0
8397,H37810,H,298.6,309.6,1593,33.3,95,0,0,0,0,0,0
4994,L52173,L,303.8,312.9,1819,23.7,16,0,0,0,0,0,0
803,L47982,L,296.9,307.8,1571,35.0,102,0,0,0,0,0,0
8555,L55734,L,298.1,309.0,1592,33.9,85,0,0,0,0,0,0
6717,L53896,L,301.3,310.6,1387,53.6,94,0,0,0,0,0,0
9929,M24788,M,298.4,308.5,1576,27.4,55,0,0,0,0,0,0
4238,L51417,L,302.2,311.0,1832,23.2,70,0,0,0,0,0,0
4806,L51985,L,303.6,312.6,1606,33.6,184,0,0,0,0,0,0
9222,M24081,M,297.8,309.0,1675,30.0,110,0,0,0,0,0,0
9099,L56278,L,297.3,308.1,1468,49.8,0,0,0,0,0,0,0
8125,L55304,L,300.2,311.4,1568,41.0,32,0,0,0,0,0,0
8065,L55244,L,300.5,311.8,1596,34.8,87,0,0,0,0,0,0
7744,L54923,L,300.5,311.9,1710,28.4,158,0,0,0,0,0,0
309,L47488,L,297.9,308.5,1305,47.2,155,0,0,0,0,0,0
9264,L56443,L,298.3,309.1,1593,40.1,18,0,0,0,0,0,0
1313,L48492,L,298.9,310.1,1473,42.6,164,0,0,0,0,0,0
4830,L52009,L,303.4,311.9,1491,38.2,26,0,0,0,0,0,0
1361,H30774,H,298.8,310.2,1707,27.6,56,0,0,0,0,0,0
796,L47975,L,296.9,307.8,1605,37.0,84,0,0,0,0,0,0
5419,L52598,L,302.6,312.4,1398,41.6,40,0,0,0,0,0,0
4886,H34299,H,303.8,312.5,1748,25.1,175,0,0,0,0,0,0
5142,L52321,L,304.4,313.7,1509,35.0,205,1,1,0,0,0,0
5837,L53016,L,301.2,311.1,1550,39.7,20,0,0,0,0,0,0
9095,M23954,M,297.3,308.1,1370,58.8,199,0,0,0,0,0,0
1816,M16675,M,298.1,307.6,1565,36.3,140,0,0,0,0,0,0
2883,L50062,L,300.6,309.6,1684,32.8,53,0,0,0,0,0,0
3799,L50978,L,302.1,310.8,1786,25.7,47,0,0,0,0,0,0
1964,L49143,L,297.7,307.5,1379,43.3,111,0,0,0,0,0,0
1357,L48536,L,298.6,309.9,1593,37.4,47,0,0,0,0,0,0
8395,M23254,M,298.6,309.5,1566,38.1,89,0,0,0,0,0,0
1258,L48437,L,297.5,308.9,1466,43.0,15,0,0,0,0,0,0
